sym,sector,stage,ok,adj_symbol,n_bars,years,expected_rolls,n_flagged,fit_ratio,has_oi,error
rb,ferrous,ok,True,rb_continuous_adj15,4161.0,17.14715947980835,102.0,66.0,0.6470588235294118,True,
j,ferrous,fetch,False,,,,,,,,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
sf,ferrous,fetch,False,,,,,,,,ChunkedEncodingError: Response ended prematurely
sm,ferrous,fetch,False,,,,,,,,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
al,nonferrous,ok,True,al_continuous_adj15,5197.0,21.371663244353183,256.0,181.0,0.70703125,True,
zn,nonferrous,fetch,False,,,,,,,,"SSLError: HTTPSConnectionPool(host='stock2.finance.sina.com.cn', port=443): Max retries exceeded with url: /futures/api/jsonp.php/var%20_V21052021_4_12=/InnerFuturesNewService.getDailyKLine?symbol=ZN0&type=2021_04_12 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))"
ni,nonferrous,ok,True,ni_continuous_adj15,2709.0,11.148528405201917,66.0,108.0,1.6363636363636365,True,
sn,nonferrous,fetch,False,,,,,,,,ChunkedEncodingError: Response ended prematurely
ma,chemicals,ok,True,ma_continuous_adj15,2761.0,11.403148528405202,68.0,65.0,0.9558823529411765,True,
pp,chemicals,fetch,False,,,,,,,,"SSLError: HTTPSConnectionPool(host='stock2.finance.sina.com.cn', port=443): Max retries exceeded with url: /futures/api/jsonp.php/var%20_V21052021_4_12=/InnerFuturesNewService.getDailyKLine?symbol=PP0&type=2021_04_12 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))"
l,chemicals,fetch,False,,,,,,,,"ProxyError: HTTPSConnectionPool(host='stock2.finance.sina.com.cn', port=443): Max retries exceeded with url: /futures/api/jsonp.php/var%20_V21052021_4_12=/InnerFuturesNewService.getDailyKLine?symbol=L0&type=2021_04_12 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"
ta,chemicals,ok,True,ta_continuous_adj15,4715.0,19.416837782340863,116.0,162.0,1.396551724137931,True,
v,chemicals,ok,True,v_continuous_adj15,4118.0,16.985626283367555,101.0,72.0,0.7128712871287128,True,
eg,chemicals,ok,True,eg_continuous_adj15,1801.0,7.441478439425051,44.0,28.0,0.6363636363636364,True,
m,agri,ok,True,m_continuous_adj15,5200.0,21.371663244353183,128.0,120.0,0.9375,True,
y,agri,fetch,False,,,,,,,,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))"
p,agri,ok,True,p_continuous_adj15,4511.0,18.55715263518138,111.0,96.0,0.8648648648648649,True,
sr,agri,ok,True,sr_continuous_adj15,4941.0,20.35044490075291,122.0,103.0,0.8442622950819673,True,
cf,agri,ok,True,cf_continuous_adj15,5198.0,21.371663244353183,128.0,177.0,1.3828125,True,
a,agri,ok,True,a_continuous_adj15,5197.0,21.371663244353183,128.0,195.0,1.5234375,True,
sc,energy,ok,True,sc_continuous_adj15,1975.0,8.150581793292266,48.0,142.0,2.9583333333333335,True,
fu,energy,ok,True,fu_continuous_adj15,5172.0,21.371663244353183,128.0,344.0,2.6875,True,
