strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
Donchian,ag2206.SHFE,1,2022-01-06,2022-03-27,2022-03-27,2022-04-26,"{'entry_window': 40, 'exit_window': 10}",-0.0777154128928661,-0.02884485000000936,17,3.43643516376165,0.29055202499999044,-0.2335658186571931,5
Donchian,ag2206.SHFE,2,2022-02-05,2022-04-26,2022-04-26,2022-05-26,"{'entry_window': 40, 'exit_window': 15}",0.09874594316999624,0.03782122500000096,15,-1.2525211481606366,-0.0854157000000022,-0.17041824287102367,4
Donchian,ag2212.SHFE,1,2022-07-18,2022-10-06,2022-10-06,2022-11-05,"{'entry_window': 40, 'exit_window': 5}",-0.6780082386008027,-0.17532674999999331,27,2.866234010034447,0.24075779999999103,-0.10976220424573999,10
Donchian,ag2212.SHFE,2,2022-08-17,2022-11-05,2022-11-05,2022-12-05,"{'entry_window': 40, 'exit_window': 5}",0.9462843075839876,0.24025169999999374,30,1.2779553961488508,0.1620530999999925,-0.2020595250000013,8
Donchian,ag2306.SHFE,1,2023-01-11,2023-04-01,2023-04-01,2023-05-01,"{'entry_window': 20, 'exit_window': 5}",1.5210126670755537,0.3572604749999986,31,-0.9197676169918996,-0.05803312500000102,-0.18936022192100466,6
Donchian,ag2306.SHFE,2,2023-02-10,2023-05-01,2023-05-01,2023-05-31,"{'entry_window': 20, 'exit_window': 5}",1.449553445201544,0.35211495000000426,28,1.784355423659308,0.19162867499999958,-0.27408109842868444,12
Donchian,ag2312.SHFE,1,2023-07-17,2023-10-05,2023-10-05,2023-11-04,"{'entry_window': 20, 'exit_window': 5}",-0.3276829532969097,-0.07073272500000005,35,-2.7651949014792776,-0.1224422249999968,-0.1656895499999984,9
Donchian,ag2312.SHFE,2,2023-08-16,2023-11-04,2023-11-04,2023-12-04,"{'entry_window': 20, 'exit_window': 10}",2.2491567436564166,0.571050900000003,25,2.4823951140926854,0.31495012500000197,-0.18954195992662345,7
Donchian,ag2406.SHFE,1,2024-01-04,2024-03-24,2024-03-24,2024-04-23,"{'entry_window': 20, 'exit_window': 15}",1.0322462687700986,0.28144822500000277,18,3.095614207478928,1.1299557750000133,-0.6003382339848258,5
Donchian,ag2406.SHFE,2,2024-02-03,2024-04-23,2024-04-23,2024-05-23,"{'entry_window': 30, 'exit_window': 15}",2.7291055589940627,1.6357366500000081,11,3.4467660354513043,0.9587122500000156,-0.7092745336332701,5
Donchian,ag2410.SHFE,1,2024-05-11,2024-07-30,2024-07-30,2024-08-29,"{'entry_window': 20, 'exit_window': 10}",1.5366741434993076,1.7664899999999983,29,-1.0061953007040942,-0.15108772499999867,-0.5189561155434531,13
Donchian,ag2410.SHFE,2,2024-06-10,2024-08-29,2024-08-29,2024-09-28,"{'entry_window': 20, 'exit_window': 10}",2.030582494133103,1.6983071250000092,30,-0.11656882917667183,-0.02639445000000018,-0.7176952500000013,9
Donchian,ag2502.SHFE,1,2024-09-04,2024-11-23,2024-11-23,2024-12-23,"{'entry_window': 40, 'exit_window': 10}",1.4769199088824105,0.6275366249999914,17,-1.2222498857992192,-0.19484925000000652,-0.48000962951638865,10
Donchian,ag2502.SHFE,2,2024-10-04,2024-12-23,2024-12-23,2025-01-22,"{'entry_window': 30, 'exit_window': 15}",0.7205095677781184,0.40220339999998966,20,-6.003290895944064,-0.8703349499999957,-0.9054519520690452,11
Donchian,ag2506.SHFE,1,2025-01-07,2025-03-28,2025-03-28,2025-04-27,"{'entry_window': 20, 'exit_window': 5}",-0.47688279388444776,-0.1488684749999969,33,-0.8320710062203347,-0.11079382499999957,-0.4316502433138327,12
Donchian,ag2506.SHFE,2,2025-02-06,2025-04-27,2025-04-27,2025-05-27,"{'entry_window': 20, 'exit_window': 10}",2.1344249397556796,1.3590731249999877,22,-1.3922910280714242,-0.08977725000000047,-0.17343675000000514,7
