strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
DoubleMa/RB,rb_continuous.SHFE,1,2009-03-27,2011-02-25,2011-02-25,2011-11-02,"{'fast_window': 10, 'slow_window': 40}",0.636916003325221,1.005517399999989,15,1.4859533813118038,0.532639300000004,-0.38067962829681723,9
DoubleMa/RB,rb_continuous.SHFE,2,2009-12-02,2011-11-02,2011-11-02,2012-07-09,"{'fast_window': 10, 'slow_window': 60}",1.01270376954376,1.2479150000000105,17,1.5024808706161075,0.22457240000000045,-0.12468134888430402,1
DoubleMa/RB,rb_continuous.SHFE,3,2010-08-09,2012-07-09,2012-07-09,2013-03-16,"{'fast_window': 20, 'slow_window': 40}",0.5983107835658943,0.5314307000000129,19,-0.32613492289951684,-0.12561280000000785,-0.4113167175089669,7
DoubleMa/RB,rb_continuous.SHFE,4,2011-04-16,2013-03-16,2013-03-16,2013-11-21,"{'fast_window': 10, 'slow_window': 60}",1.2980538537658735,1.4288729,13,0.01912384569744991,0.003908800000007595,-0.2532438276162546,3
DoubleMa/RB,rb_continuous.SHFE,5,2011-12-22,2013-11-21,2013-11-21,2014-07-29,"{'fast_window': 10, 'slow_window': 60}",0.8881795328414636,0.9161729999999979,13,-2.1153647153950774,-0.14292020000000738,-0.14292020000000485,3
DoubleMa/RB,rb_continuous.SHFE,6,2012-08-28,2014-07-29,2014-07-29,2015-04-05,"{'fast_window': 10, 'slow_window': 60}",0.626025255205776,0.5977094999999988,15,-1.1004817626194408,-0.2187684000000023,-0.3839520638667394,11
DoubleMa/RB,rb_continuous.SHFE,7,2013-05-05,2015-04-05,2015-04-05,2015-12-11,"{'fast_window': 10, 'slow_window': 100}",1.4078133574530336,1.0614499999999971,7,0.0,0.0,0.0,0
DoubleMa/RB,rb_continuous.SHFE,8,2014-01-10,2015-12-11,2015-12-11,2016-08-17,"{'fast_window': 20, 'slow_window': 60}",1.3803586274498088,1.1740585999999942,11,-1.0615951035045228,-0.38468100000000893,-0.6766810000000056,3
DoubleMa/RB,rb_continuous.SHFE,9,2014-09-17,2016-08-17,2016-08-17,2017-04-24,"{'fast_window': 10, 'slow_window': 60}",0.4525321553796953,0.5624708000000034,15,-0.15883747749153496,-0.09255570000000768,-0.5898552519863782,5
DoubleMa/RB,rb_continuous.SHFE,10,2015-05-25,2017-04-24,2017-04-24,2017-12-30,"{'fast_window': 10, 'slow_window': 100}",0.4242759437494817,0.7453858000000091,11,-0.20972410430735988,-0.06313310000000127,-0.2974085528306508,3
DoubleMa/RB,rb_continuous.SHFE,11,2016-01-30,2017-12-30,2017-12-30,2018-09-06,"{'fast_window': 10, 'slow_window': 100}",0.3606169150506513,0.7264528999999964,11,1.052894560954753,0.3426195999999937,-0.30817982952358713,1
DoubleMa/RB,rb_continuous.SHFE,12,2016-10-06,2018-09-06,2018-09-06,2019-05-14,"{'fast_window': 20, 'slow_window': 60}",0.20826082033563448,0.36313299999999327,11,-0.3054535534190477,-0.11286090000000026,-0.32751975025724356,5
