sym,strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,1,2014-03-21,2016-02-19,2016-02-19,2016-10-26,"{'fast_window': 10, 'slow_window': 60}",1.3602083956008895,1.035566500000007,13,-0.3168523502157649,-0.1154769,-0.505798678261761,5
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,2,2014-11-26,2016-10-26,2016-10-26,2017-07-03,"{'fast_window': 20, 'slow_window': 100}",0.6321734272798003,0.680700699999992,5,0.0,0.0,0.0,0
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,3,2015-08-03,2017-07-03,2017-07-03,2018-03-10,"{'fast_window': 20, 'slow_window': 40}",0.8050475343109281,1.327978299999999,15,-0.8120916044569708,-0.42861210000000316,-0.49308094124055357,7
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,4,2016-04-09,2018-03-10,2018-03-10,2018-11-15,"{'fast_window': 20, 'slow_window': 40}",0.7813315529536092,1.5652827000000036,21,1.5764866170533511,0.3897599000000085,-0.10584889023015631,1
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,5,2016-12-15,2018-11-15,2018-11-15,2019-07-23,"{'fast_window': 10, 'slow_window': 40}",1.0937876811779823,1.9283401000000033,17,-1.094225732638202,-0.2197287999999964,-0.4068666584037746,3
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,6,2017-08-22,2019-07-23,2019-07-23,2020-03-29,"{'fast_window': 10, 'slow_window': 40}",0.9790137901229639,1.3931606000000096,17,-0.9600079283023473,-0.3671372999999978,-0.7307565751160711,9
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,7,2018-04-29,2020-03-29,2020-03-29,2020-12-04,"{'fast_window': 20, 'slow_window': 60}",0.6447003379693876,0.7619221999999981,9,0.7363084820124619,0.14806199999999325,-0.23029740000000457,3
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,8,2019-01-04,2020-12-04,2020-12-04,2021-08-11,"{'fast_window': 10, 'slow_window': 100}",0.5791213731284184,0.563320299999992,11,0.0,0.0,0.0,0
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,9,2019-09-11,2021-08-11,2021-08-11,2022-04-18,"{'fast_window': 10, 'slow_window': 60}",0.8006507207266581,1.6249796999999955,11,0.8511440445987847,0.4675524000000042,-0.4452060984442666,1
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,10,2020-05-18,2022-04-18,2022-04-18,2022-12-24,"{'fast_window': 20, 'slow_window': 60}",0.6475040104407018,1.667070599999998,11,-0.5303485529415486,-0.15785539999999543,-0.4227172097955566,5
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,11,2021-01-23,2022-12-24,2022-12-24,2023-08-31,"{'fast_window': 10, 'slow_window': 60}",0.23335493341828917,0.5582640999999944,19,0.5835945612939488,0.23482759999999825,-0.37791100311349834,3
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,12,2021-09-30,2023-08-31,2023-08-31,2024-05-07,"{'fast_window': 20, 'slow_window': 40}",1.1261708829310235,2.001585099999992,19,1.0440057758111772,0.23781549999999374,-0.28644195176590526,3
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,13,2022-06-07,2024-05-07,2024-05-07,2025-01-12,"{'fast_window': 20, 'slow_window': 40}",0.6700614982559823,0.7949575000000042,21,0.18277034458506497,0.04494090000000117,-0.23861733270853927,3
hc,DoubleMa/HC,hc_continuous_adj15.SHFE,14,2023-02-12,2025-01-12,2025-01-12,2025-09-19,"{'fast_window': 20, 'slow_window': 40}",0.4648432234845368,0.4882704999999987,15,0.01810537074263272,0.00401059999999287,-0.2729822332470258,3
au,DoubleMa/AU,au_continuous_adj15.SHFE,1,2008-01-09,2009-12-09,2009-12-09,2010-08-16,"{'fast_window': 10, 'slow_window': 100}",0.7251795493695395,6.383032749999917,9,-0.9298726093948523,-0.6865804000000031,-1.223352065101235,1
au,DoubleMa/AU,au_continuous_adj15.SHFE,2,2008-09-15,2010-08-16,2010-08-16,2011-04-23,"{'fast_window': 30, 'slow_window': 40}",0.9000087949436606,7.037218199999717,23,0.9288502967068957,1.315669099999961,-1.938516700764972,3
