fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
1,2013-10-18,2015-09-18,2015-09-18,2016-05-25,{'hold_days': 3},0.3693956969405886,0.20614860000001123,12,0.8172793233913659,0.22810699999999962,-0.27028273999348684,8
2,2014-06-25,2016-05-25,2016-05-25,2017-01-30,{'hold_days': 5},0.7139149884723361,0.5960273999999988,16,0.6060865419711813,0.36376430000000237,-0.38787017114553496,4
3,2015-03-02,2017-01-30,2017-01-30,2017-10-07,{'hold_days': 3},0.880063021322507,0.8654544000000097,18,1.002954324658107,0.26366530000001553,-0.0551531644938387,4
4,2015-11-07,2017-10-07,2017-10-07,2018-06-14,{'hold_days': 3},1.0685631542677936,1.0159974000000016,14,1.25598197884627,0.2183241999999863,-0.09509429248971124,6
5,2016-07-14,2018-06-14,2018-06-14,2019-02-19,{'hold_days': 3},1.0885464780792637,1.0007690999999985,14,0.0,0.0,0.0,0
6,2017-03-21,2019-02-19,2019-02-19,2019-10-27,{'hold_days': 3},0.8869914656065349,0.4619943000000015,10,-0.5623299723634524,-0.12091679999999272,-0.20984357231885847,2
7,2017-11-26,2019-10-27,2019-10-27,2020-07-03,{'hold_days': 15},1.495619944039104,1.6436329000000027,4,-1.4186654557503515,-0.48069719999999094,-0.6303344999999972,2
8,2018-08-03,2020-07-03,2020-07-03,2021-03-10,{'hold_days': 15},0.8331302206080315,0.9134768999999876,4,-0.7512940138859496,-1.017156099999994,-2.660481418034031,4
9,2019-04-10,2021-03-10,2021-03-10,2021-11-15,{'hold_days': 15},-0.041479063072472136,-0.10367920000000641,8,-0.41181200762883907,-0.4622680000000101,-1.3341406373229998,4
10,2019-12-16,2021-11-15,2021-11-15,2022-07-23,{'hold_days': 3},-0.44218660331877807,-0.5713135000000036,12,1.6153679283537865,0.6142412999999847,0.0,2
11,2020-08-22,2022-07-23,2022-07-23,2023-03-30,{'hold_days': 3},0.0431948670754038,0.059598499999991006,10,-1.029746163361314,-0.3259549000000028,-0.49428559913785414,2
12,2021-04-29,2023-03-30,2023-03-30,2023-12-05,{'hold_days': 10},1.1660768173124139,1.9122991000000145,6,-0.32169158920140184,-0.16682730000000534,-0.6222395109451517,4
13,2022-01-04,2023-12-05,2023-12-05,2024-08-11,{'hold_days': 5},-0.09545700616252586,-0.0827576000000052,6,-0.1662406099103764,-0.09139019999999665,-0.6447774349991107,3
14,2022-09-11,2024-08-11,2024-08-11,2025-04-18,{'hold_days': 5},-0.1382610908669709,-0.17414780000000185,9,0.15694789523892957,0.038172999999996904,-0.3055770549277192,4
15,2023-05-19,2025-04-18,2025-04-18,2025-12-24,{'hold_days': 5},0.041138253155304824,0.045477800000015556,10,0.0,0.0,0.0,0
