fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
1,2013-10-18,2015-09-18,2015-09-18,2016-05-25,"{'fast_window': 10, 'slow_window': 100, 'post_roll_window': 10}",0.6100450046452996,0.689481599999997,2,0.0,0.0,0.0,0
2,2014-06-25,2016-05-25,2016-05-25,2017-01-30,"{'fast_window': 10, 'slow_window': 60, 'post_roll_window': 3}",0.5856807036611116,1.5239922999999989,4,0.0,0.0,0.0,0
3,2015-03-02,2017-01-30,2017-01-30,2017-10-07,"{'fast_window': 10, 'slow_window': 60, 'post_roll_window': 3}",0.5832059636425204,1.5239922999999989,4,0.0,0.0,0.0,0
4,2015-11-07,2017-10-07,2017-10-07,2018-06-14,"{'fast_window': 20, 'slow_window': 40, 'post_roll_window': 3}",0.4501907921260173,0.6993825999999981,2,0.0,0.0,0.0,0
5,2016-07-14,2018-06-14,2018-06-14,2019-02-19,"{'fast_window': 10, 'slow_window': 40, 'post_roll_window': 3}",0.6255691289242575,0.9243595000000049,2,0.0,0.0,0.0,0
6,2017-03-21,2019-02-19,2019-02-19,2019-10-27,"{'fast_window': 20, 'slow_window': 60, 'post_roll_window': 5}",0.1722409097824213,0.18436429999999504,2,0.0,0.0,0.0,0
7,2017-11-26,2019-10-27,2019-10-27,2020-07-03,"{'fast_window': 10, 'slow_window': 40, 'post_roll_window': 5}",1.0651019109090691,1.3841578999999937,2,-1.9008555114036576,-0.6907344000000037,-0.7942482186451095,2
8,2018-08-03,2020-07-03,2020-07-03,2021-03-10,"{'fast_window': 10, 'slow_window': 40, 'post_roll_window': 5}",0.4849243295929349,0.69342349999999,4,0.0,0.0,0.0,0
9,2019-04-10,2021-03-10,2021-03-10,2021-11-15,"{'fast_window': 10, 'slow_window': 40, 'post_roll_window': 5}",0.48388158840495293,0.69342349999999,4,0.0,0.0,0.0,0
10,2019-12-16,2021-11-15,2021-11-15,2022-07-23,"{'fast_window': 30, 'slow_window': 60, 'post_roll_window': 5}",0.7410270709120308,2.393686000000006,3,0.0,0.0,0.0,0
11,2020-08-22,2022-07-23,2022-07-23,2023-03-30,"{'fast_window': 30, 'slow_window': 60, 'post_roll_window': 3}",0.6340552015219263,2.1890519999999913,2,0.0,0.0,0.0,0
12,2021-04-29,2023-03-30,2023-03-30,2023-12-05,"{'fast_window': 30, 'slow_window': 60, 'post_roll_window': 3}",0.6326937581845844,2.1890519999999913,2,0.0,0.0,0.0,0
13,2022-01-04,2023-12-05,2023-12-05,2024-08-11,"{'fast_window': 20, 'slow_window': 60, 'post_roll_window': 3}",0.01327081874681007,0.019041799999985898,2,0.0,0.0,0.0,0
14,2022-09-11,2024-08-11,2024-08-11,2025-04-18,"{'fast_window': 20, 'slow_window': 60, 'post_roll_window': 3}",0.013313650612109281,0.019041799999985898,2,0.0,0.0,0.0,0
15,2023-05-19,2025-04-18,2025-04-18,2025-12-24,"{'fast_window': 30, 'slow_window': 40, 'post_roll_window': 5}",-1.3652330488722593,-1.3559674999999993,2,0.0,0.0,0.0,0
