strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
Boll/JM (adj15),jm_continuous_adj15.DCE,4,2015-04-21,2017-03-21,2017-03-21,2017-11-26,"{'boll_window': 20, 'boll_dev': 2.0}",-0.04579466739252764,-17.0372097,44,-1.817920063066432,-10.185284579999998,-10.185284580000001,12
Boll/JM (adj15),jm_continuous_adj15.DCE,5,2015-12-27,2017-11-26,2017-11-26,2018-08-03,"{'boll_window': 30, 'boll_dev': 2.0}",-0.05087445625431581,-15.369331920000008,44,1.3714156350437694,0.5759387999999976,-0.32402789999999804,4
Boll/JM (adj15),jm_continuous_adj15.DCE,6,2016-09-02,2018-08-03,2018-08-03,2019-04-10,"{'boll_window': 30, 'boll_dev': 2.0}",0.7619724653795565,2.567650440000002,16,1.7091292526161017,2.2077192000000023,-0.6463315227617702,8
Boll/JM (adj15),jm_continuous_adj15.DCE,7,2017-05-10,2019-04-10,2019-04-10,2019-12-16,"{'boll_window': 30, 'boll_dev': 2.5}",1.7106406421048386,5.2853588400000096,18,0.5940317633232683,0.23691485999999262,-0.2573824664692727,4
Boll/JM (adj15),jm_continuous_adj15.DCE,8,2018-01-15,2019-12-16,2019-12-16,2020-08-22,"{'boll_window': 30, 'boll_dev': 2.5}",1.6869778047237884,3.971448479999995,16,0.4444481446846893,0.12587831999999466,-0.24867191421263976,2
Boll/JM (adj15),jm_continuous_adj15.DCE,9,2018-09-22,2020-08-22,2020-08-22,2021-04-29,"{'boll_window': 20, 'boll_dev': 1.5}",1.4634426506632887,4.132647840000003,48,-0.7342275703312434,-1.3126059600000017,-2.595905285778859,9
Boll/JM (adj15),jm_continuous_adj15.DCE,10,2019-05-30,2021-04-29,2021-04-29,2022-01-04,"{'boll_window': 15, 'boll_dev': 2.0}",0.2704814540219531,0.783130260000009,31,-0.1573016429249668,-0.6816147600000044,-6.612312992168682,6
Boll/JM (adj15),jm_continuous_adj15.DCE,11,2020-02-04,2022-01-04,2022-01-04,2022-09-11,"{'boll_window': 15, 'boll_dev': 2.5}",0.13318006034158972,0.9113508600000042,10,0.12845866033198558,0.29727768000000765,-3.8704215289601067,4
Boll/JM (adj15),jm_continuous_adj15.DCE,12,2020-10-11,2022-09-11,2022-09-11,2023-05-19,"{'boll_window': 15, 'boll_dev': 2.0}",0.005065096060923487,0.051334499999988736,31,-0.1920111506531197,-0.26266385999998976,-1.7558729434761684,10
Boll/JM (adj15),jm_continuous_adj15.DCE,13,2021-06-18,2023-05-19,2023-05-19,2024-01-24,"{'boll_window': 15, 'boll_dev': 2.0}",0.17878073433832958,1.6285270800000085,30,-0.285927105811044,-0.41624862000000373,-2.7501427680097286,6
Boll/JM (adj15),jm_continuous_adj15.DCE,14,2022-02-23,2024-01-24,2024-01-24,2024-09-30,"{'boll_window': 30, 'boll_dev': 1.5}",0.33454957700940374,2.388177359999988,30,-1.1509215112047873,-1.6777814400000035,-3.0080960898275917,5
Boll/JM (adj15),jm_continuous_adj15.DCE,15,2022-10-31,2024-09-30,2024-09-30,2025-06-07,"{'boll_window': 30, 'boll_dev': 2.5}",-0.0013185142308906681,-0.004511579999999515,10,-2.78858744848023,-1.5274969799999982,-1.8844969799999962,1
Boll/JM (adj15),jm_continuous_adj15.DCE,16,2023-07-08,2025-06-07,2025-06-07,2026-02-12,"{'boll_window': 15, 'boll_dev': 2.5}",0.4393734274702117,0.9749507400000024,9,1.5627031867445187,0.5989563600000025,-0.18543357460301763,2
