strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
BollRev,rb2210.SHFE,1,2022-01-25,2022-05-25,2022-05-25,2022-07-24,"{'boll_window': 20, 'boll_dev': 2.5}",3.0597067046566404,0.48675719999999867,15,-4.7122645611055605,-0.735530299999998,-0.8111513000000036,6
BollRev,rb2210.SHFE,2,2022-03-26,2022-07-24,2022-07-24,2022-09-22,"{'boll_window': 40, 'boll_dev': 2.0}",-0.18476212126722255,-0.06412030000000346,19,2.5346967871288655,0.1670443000000077,-0.06292763561029831,9
BollRev,rb2301.SHFE,1,2022-05-09,2022-09-06,2022-09-06,2022-11-05,"{'boll_window': 40, 'boll_dev': 2.5}",-1.527728747772211,-0.39682099999999165,12,-0.040712197754591735,-0.0017013000000010159,-0.09135060000000522,2
BollRev,rb2301.SHFE,2,2022-07-08,2022-11-05,2022-11-05,2023-01-04,"{'boll_window': 20, 'boll_dev': 2.0}",0.11914922456351061,0.026874899999995705,34,2.424790899919643,0.25204129999998326,-0.164888605528163,18
BollRev,rb2305.SHFE,1,2022-08-24,2022-12-22,2022-12-22,2023-02-20,"{'boll_window': 20, 'boll_dev': 2.5}",-0.14211281441275203,-0.026365900000002718,20,3.5412690926103054,0.0731558000000021,0.0,2
BollRev,rb2305.SHFE,2,2022-10-23,2023-02-20,2023-02-20,2023-04-21,"{'boll_window': 20, 'boll_dev': 2.5}",1.0089511494772723,0.16484869999999763,16,-4.571061835130401,-0.37590919999999084,-0.3759091999999946,7
BollRev,rb2310.SHFE,1,2023-01-31,2023-05-31,2023-05-31,2023-07-30,"{'boll_window': 20, 'boll_dev': 2.5}",0.7833165576536314,0.10041430000000684,12,1.3026755623203496,0.019498500000003638,-0.034373616055878825,4
BollRev,rb2310.SHFE,2,2023-04-01,2023-07-30,2023-07-30,2023-09-28,"{'boll_window': 20, 'boll_dev': 2.5}",0.8586444343786346,0.09734409999999638,10,1.0380572489359623,0.04741699999999405,-0.09723032206406058,7
BollRev,rb2401.SHFE,1,2023-05-05,2023-09-02,2023-09-02,2023-11-01,"{'boll_window': 30, 'boll_dev': 2.5}",0.38672350962379015,0.04289239999999417,14,-0.47800934091184605,-0.023188500000004275,-0.16737719999999973,6
BollRev,rb2401.SHFE,2,2023-07-04,2023-11-01,2023-11-01,2023-12-31,"{'boll_window': 40, 'boll_dev': 2.5}",0.36748107093648275,0.0325093000000054,12,0.6904779637156339,0.046018000000014325,-0.10097616508111343,5
BollRev,rb2405.SHFE,1,2023-08-23,2023-12-21,2023-12-21,2024-02-19,"{'boll_window': 40, 'boll_dev': 2.5}",-0.029655108751166604,-0.0032765000000045674,11,-0.3287064319962268,-0.007772900000002636,-0.0719894799613248,2
BollRev,rb2405.SHFE,2,2023-10-22,2024-02-19,2024-02-19,2024-04-19,"{'boll_window': 40, 'boll_dev': 2.5}",0.8597667299824575,0.09547770000000178,14,0.13266895733266817,0.006919699999996531,-0.13496674459903105,3
BollRev,rb2410.SHFE,1,2024-01-22,2024-05-21,2024-05-21,2024-07-20,"{'boll_window': 40, 'boll_dev': 2.5}",1.0463246444025338,0.11661350000000681,12,1.0283815278580324,0.025571100000010283,-0.029355799999996088,4
BollRev,rb2410.SHFE,2,2024-03-22,2024-07-20,2024-07-20,2024-09-18,"{'boll_window': 20, 'boll_dev': 2.5}",4.426831963203245,0.23712190000000355,16,-2.457221562858232,-0.19128619999999597,-0.2856009788684419,4
BollRev,rb2501.SHFE,1,2024-05-06,2024-09-03,2024-09-03,2024-11-02,"{'boll_window': 20, 'boll_dev': 2.5}",0.6509042692211451,0.05407800000001295,11,1.5626890076839275,0.08598199999998446,-0.07323986133934277,9
BollRev,rb2501.SHFE,2,2024-07-05,2024-11-02,2024-11-02,2025-01-01,"{'boll_window': 30, 'boll_dev': 2.5}",0.1797650465629057,0.027692299999992898,16,2.5599471607666513,0.13104269999999474,-0.03726465745896925,9
