strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
DoubleMa,rb2310.SHFE,1,2023-01-31,2023-05-31,2023-05-31,2023-07-30,"{'fast_window': 10, 'slow_window': 20}",-0.3140831080276333,-0.0752959000000053,37,1.506510800319734,0.08787740000000266,-0.07943386267441932,11
DoubleMa,rb2310.SHFE,2,2023-04-01,2023-07-30,2023-07-30,2023-09-28,"{'fast_window': 10, 'slow_window': 30}",1.4579243205270975,0.28035770000001126,29,-2.7965339446952378,-0.1763587000000011,-0.17635870000000578,9
DoubleMa,rb2401.SHFE,1,2023-05-05,2023-09-02,2023-09-02,2023-11-01,"{'fast_window': 10, 'slow_window': 30}",1.2780374967142345,0.21409320000000953,27,-1.3305185826172528,-0.06482429999999928,-0.14082430000000168,5
DoubleMa,rb2401.SHFE,2,2023-07-04,2023-11-01,2023-11-01,2023-12-31,"{'fast_window': 5, 'slow_window': 30}",0.26646676281176035,0.04198340000001188,27,-1.8523255161354693,-0.1220976999999901,-0.16509769999999552,13
DoubleMa,rb2405.SHFE,1,2023-08-23,2023-12-21,2023-12-21,2024-02-19,"{'fast_window': 10, 'slow_window': 20}",0.832137486505624,0.14923159999999935,33,2.9532613815343196,0.12204540000000375,-0.07861193528493118,5
DoubleMa,rb2405.SHFE,2,2023-10-22,2024-02-19,2024-02-19,2024-04-19,"{'fast_window': 10, 'slow_window': 20}",1.5132690320956743,0.2225020000000022,29,1.382932548480629,0.10979520000000687,-0.14541705037471206,9
DoubleMa,rb2410.SHFE,1,2024-01-22,2024-05-21,2024-05-21,2024-07-20,"{'fast_window': 15, 'slow_window': 40}",1.3447782892384654,0.23981509999999595,17,-2.8047267368723956,-0.18990629999999786,-0.23635086969067018,11
DoubleMa,rb2410.SHFE,2,2024-03-22,2024-07-20,2024-07-20,2024-09-18,"{'fast_window': 15, 'slow_window': 20}",0.40573700361475085,0.06615819999999939,41,3.403856168900991,0.26813770000000403,-0.0747728808886262,9
Donchian,rb2310.SHFE,1,2023-01-31,2023-05-31,2023-05-31,2023-07-30,"{'entry_window': 40, 'exit_window': 5}",0.7159313652050414,0.11003960000000035,19,-1.6519478375116905,-0.0285016999999943,-0.031381695924722196,4
Donchian,rb2310.SHFE,2,2023-04-01,2023-07-30,2023-07-30,2023-09-28,"{'entry_window': 40, 'exit_window': 5}",-0.30518036444399255,-0.040888300000008204,16,-1.791568573990665,-0.07772539999999495,-0.1433618999999948,10
Donchian,rb2401.SHFE,1,2023-05-05,2023-09-02,2023-09-02,2023-11-01,"{'entry_window': 40, 'exit_window': 15}",0.26743719258993726,0.03247520000000392,15,-0.9859738840984642,-0.04282110000000117,-0.16138729252782946,5
Donchian,rb2401.SHFE,2,2023-07-04,2023-11-01,2023-11-01,2023-12-31,"{'entry_window': 30, 'exit_window': 10}",-1.0238520707587693,-0.15070990000000117,26,-0.430725236283719,-0.02175790000000788,-0.07575721303050238,7
Donchian,rb2405.SHFE,1,2023-08-23,2023-12-21,2023-12-21,2024-02-19,"{'entry_window': 20, 'exit_window': 15}",1.2766957003611807,0.33875919999999393,18,-2.4602243247370947,-0.11349219999999827,-0.12951122665827297,9
Donchian,rb2405.SHFE,2,2023-10-22,2024-02-19,2024-02-19,2024-04-19,"{'entry_window': 20, 'exit_window': 15}",-0.31888399277097884,-0.0444713000000041,19,0.9384014614557399,0.08751289999999745,-0.11756674535677018,7
Donchian,rb2410.SHFE,1,2024-01-22,2024-05-21,2024-05-21,2024-07-20,"{'entry_window': 30, 'exit_window': 5}",0.8003240390020386,0.07408780000000004,19,-3.0053745695910985,-0.10897600000000507,-0.15155377383354765,13
Donchian,rb2410.SHFE,2,2024-03-22,2024-07-20,2024-07-20,2024-09-18,"{'entry_window': 40, 'exit_window': 5}",-2.2815753357136526,-0.15141960000000232,24,0.877741924338041,0.05916580000000504,-0.087484391634731,9
